,topic_id,topic,T/F,speecher,id,reference
904,2,"""G20이나 OECD 국가 중 한국은 상당한 고성장 국가이다""?",False,문재인,1561,출처: 5월 9일 문재인대통령 취임2주년 대담
906,2,“우리 경제의 기초체력이 튼튼하다”?,False,문재인,1557,
907,2,트럼프 대통령이 '전화 한 통화로 방위비 분담금을 인상했다'고 겨냥한 국가는 한국,True,언론 보도,1548,
911,2,"""OECD 국가 중 한국만 고교 무상교육 정책이 없다""",True,네이버뉴스 댓글 이용자,1505,출처: 4월 9일 언론보도 댓글
915,2,"""지난 1년 동안 30대 기업 중 압수수색 안 당한 곳이 한 군데도 없다""",False,정유섭,1446,출처: 3월 21일 국회 경제 분야 대정부 질문 자료
916,2,"전두환 추징금 시효, 내년이면 만료된다",False,언론 보도,1443,
921,2,신용카드 소득공제 축소는 서민 증세?,True,한국납세자연맹,1402,
922,2,"""일자리 정책에 54조를 썼지만, 결과는 19년 만의 최악의 실업이다.""",True,나경원,1407,
923,2,"""무디스가 올해 한국경제성장률을 2.1%로 대폭 낮췄다.""",True,나경원,1406,
924,2,"""지난해 4분기 1분위 근로소득이 36.8% 떨어졌다.""",True,나경원,1405,
927,2,"""김대중, 노무현 정부 시절 대북지원액 중 순수 현금은 40만 달러""",False,유시민,1365,"출처: [고칠레오 2회] ""북한 핵 개발 자금 출처는 DJㆍ노무현정부"" 사실일까?"
928,2,"""탈원전으로 LNG 발전이 늘어 미세먼지가 두배로 급증한다""",False,"최연혜, 나경원",1363,"출처: ""탈원전으로 LNG 발전 2배 늘리면 2029년 초미세먼지 2배 짙어진다"""
929,2,"""편의점 사업, 점주는 가난해지고 본사만 살찌고 있다""?",False,우원식,1353,출처: CU본사와 점주 수익 역관계 심화…점주는 빈곤해지고 본사만 살찌는 구조 반복
934,2,"""일자리의 질은 지속개선되고 있다""",True,박광온,1344,출처: 제67차 최고위원회의 모두발언
939,2,"""脫원전-미세먼지 무관""?",False,김의겸,1299,"출처: 靑 ""미세먼지, 탈원전과 무관…中과 미세먼지 대책 공동연구"""
940,2,"""현 정부가 화력발전소를 7기나 새로 지어 화력발전소 비중이 증가했다""?",True,나경원,1297,
941,2,"""교육부가 직접 필요성을 입증한 법만 남기는 방식으로 교육 규제 완화했다""",True,이종태,1295,"출처: [전문] 청와대로 간 기업인들, 대통령과 무슨 얘기 나눴나?"
943,2,"""한국 성장률 최고, 양극화 최악""?",True,문재인,1285,
944,2,"“개성공단, 북한보다 우리가 더 큰 이득이다”?",True,문재인,1283,출처: [KBS LIVE] 문재인 대통령 신년 기자회견
946,2,"""장기간에 걸쳐, 기업소득 비중은 높아졌지만 가계소득 비중은 낮아졌다""",True,문재인,1279,출처: [전문]문재인 대통령 신년 기자회견 연설문
950,2,"""2017년 11월 바이백 취소는 국가부채 비율 높이기 위한 것""",False,신재민,1270,출처: 내가 기획재정부를 나온 이유 2
951,2,적자 국채 발행해서 북한을 지원하려 했다,False,인터넷 루머,1268,출처: 신재민사건 사람들은 모르는 놀라운 사실 하나 알려줄까? - 주식 갤러리
952,2,"""최저임금 산정위원회에 최저임금 당사자인 소상공인, 자영업자들이 위원으로 들어가 있지 않다.""",False,홍준표,1261,출처: [TV홍카콜라 LIVE On-Air] 이벤트 라이브 - 1부
953,2,"""2018년도 소비는 좋았다""",False,문재인,1260,
960,2,“수상태양광발전소는 중금속 범벅이다”,False,언론 보도,1226,"출처: ""새만금, 맹독성 호수로 전락할 것"""
964,2,"""한국 신재생에너지 뒤쳐져 부끄러운 수준""?",True,문재인,1180,
966,2,수상 태양광 설비는 중금속 덩어리,False,발언인 없음,1137,
967,2,"""글로벌 경기는 순항, 우리 경제는 하강 국면""",False,황교안,1131,출처: 황교안 Hwang Kyo-ahn
968,2,"""서울 집값 현 정부 이전에 더 올랐다""",False,박홍근,1108,
970,2,"""새누리당은 경제민주화 때문에 몰락하기 시작""",False,전원책,1101,
973,2,"국민연금공단 기금운용본부가 전주로 이전한 후, 해외투자자가 국민연금을 '패싱'한다",False,언론 보도,1056,"출처: [단독] 글로벌 큰손, 서울 와도 전주까진 안 들러 ‘국민연금 패싱'"
975,2,“청와대를 비롯한 주요 부처들이 예산 지침을 어기고 업무추진비를 사용이 금지된 곳에서 사적으로 유용한 사례를 무수히 발견했다”,False,심재철,1044,
976,2,'기금운용본부장(CIO) 인선난'은 국민연금공단 기금운용본부의 전북 이전 때문이다,False,언론 보도,1031,출처: Want to Oversee the World’s Third-Largest Pension Fund? There’s Just One Catch
980,2,집값 안 잡히면 서울 전역에 종부세 부과?,False,인터넷 루머,1024,
982,2,자유한국당 의원 다수가 강남에 집이 있다?,True,발언인 없음,1018,
986,2,"""올해 발표된 가계 소득 동향 자료는 표본이 당초 5500개에서 8000개로 늘어났고, 분위 샘플 수도70%가 교체돼 2017년과...",False,김정우,981,출처보기>
990,2,"""2분기 소득부문 가계동향조사 결과는 신뢰도 문제가 있으며, 특히 시계열적으로 분석한 것은 오류다.""",False,심상정,977,
996,2,"""일본 정부는 전기요금에 개입할 여지조차 없다"" ?",False,홍익표,926,
998,2,김동연 경제부총리가 삼성 이재용 부회장에게 머리를 조아렸다,False,인터넷 루머,921,
1005,2,"""원전 가동에 터무니없는 왜곡""",False,문재인,888,"출처: 문대통령 ""특별재난수준 폭염대책 필요,전력계획 소상히 밝히라"" | 연합뉴스"
1022,2,"""문재인 정부가 지난 9년간 살린 살림을 들어먹고 있다""",False,홍준표,798,"출처: 홍준표 공동선거대책위원장, 서울 서초 고속버스터미널 앞 유세 주요내용[보도자료]"
1023,2,"""고용된 근로자의 임금은 다 늘었다. 최저임금 인상과 소득주도성장의 긍정적 효과가 90%""",True,문재인,800,"출처: 문대통령 ""최저임금 인상, 긍정적 효과 90%""… 비판 정면돌파"
1024,2,"""서울시장 취임 첫날 재개발, 재건축 도장을 찍겠다""",False,김문수,790,
1026,2,"""우리나라처럼 지역에 관계없이, 직종에 관계없이 동일한 최저임금 제도를 도입한다는 것은 전 세계에 없다""",False,이용구,751,
1039,2,“대외경제정책연구원의 유럽 사무소 설치 예산을 전액 삭감했다”,False,김기식,662,출처보기>
1041,2,최저임금이 오르면 물가도 오를까?,False,발언인 없음,631,
1057,2,"미국의 철강 통상압력, 외교실책 탓인가",False,자유한국당,522,"출처: 한국당 ""미국의 통상압력은 文정부의 친북-친중 외교 때문"""
1065,2,최저임금 인상하면 실업률 높아지나,False,국민의당,488,"출처: 국민의당, ""최저임금 인상 역효과 많다"" 정부에 날 세워 - KNS뉴스통신"
1069,2,"""가상통화가 외환 유출 통로가 되고 있다""는 주장은 사실일까",False,관련인 없음,444,
1070,2,‘가상화폐 실명전환’ 거부하면 과태료 물어야 한다?,False,금융당국,441,출처: 가상화폐 거래 가상계좌 실명전환 거부하면 과태료 낸다 | 연합뉴스
1078,2,한국은 정말 조세회피처인가?,False,유럽연합,388,
1079,2,공무원 늘려 '국가부도' 위기 우려?,False,정우택,386,
1082,2,"종교인 과세, 기준-절차 불명확하다?",False,김진표,371,
1086,2,미국차 '무역 장벽' 때문에 팔기 어렵다?,False,트럼프,359,
1089,2,"""한국경제가 기회를 잡아야할 시기에 도움이 되지 않는다""
사이버사령부 댓글 사건 수사에 대해 이명박 전 대통령이 한 발언.",False,이명박,335,
1090,2,"문재인 대통령이 ""KEB하나은행 문제에 관심을 갖고 조치를 취해달라""는 금융노조의 요청에 즉석에서 대응을 지시했다?",False,금융노조,330,
1094,2,"""특수학교가 들어서면 집값이 떨어진다""",False,관련인 없음,260,출처: [레이더P 팩트체커] 강서 특수학교 갈등의 진실③ 땅값이 떨어진다고?
1095,2,"""3년간 특수학교 21개교와 특수학급 2300여 학급을 대폭 신·증설""",False,교육부,259,출처: [레이더P 팩트체커] 강서 특수학교 갈등의 진실② 혼란 부추긴 관치
1096,2,"""특수학교 대체부지 확보했는데 교육청 탓에 원점""",False,김성태,258,출처: [레이더P 팩트체커] 특수학교 갈등의 진실① `임대와 섞이기 싫다`
1097,2,"""현 정부에서 호남예산이 깎이고 있다""",False,안철수,262,"출처: 안철수, ""文정부, 호남 SOC 예산 삭감 너무해"" 연일 맹폭 - the300"
1101,2,"이혜훈 대표 ""핀셋증세 세수 3~4조 그친다""는 발언.",True,이혜훈,224,출처: [레이더P 팩트체크] 이혜훈 핀셋증세 세수 3~4조 그쳐
1103,2,'급전지시'로 전력 예비율 부풀렸다?,False,자유한국당,223,
1105,2,최저임금 인상으로 9급 공무원보다 아르바이트생의 급여가 더 많아졌다는 주장,False,관련인 없음,208,
1106,2,누진제 논란 1년...전기요금 인하에 효과 있었다?,True,관련인 없음,209,
1110,2,"文·여당 ""탈원전은 세계적 추세"" 사실은?",False,문재인,197,출처: [레이더P 팩트체커] 文·여당 탈원전은 세계적 추세
1112,2,"트럼프 미국 대통령의 한미FTA 재협상 요구, 거부할 수 있을까?",False,트럼프,193,
1113,2,"주호영 “文, 2012년에 한미FTA 재협상 공약“",True,주호영,192,"출처: [레이더P 팩트체커] 주호영 “文, 2012년에 한미FTA 재협상 공약“"
1114,2,OECD 국가 중 산업부에 통상기능 둔 나라가 더 많다?,False,국정기획자문위,181,출처: [레이더P 팩트체크] OECD국가 중 산업부에 통상기능 둔 나라 더 많다?
1115,2,‘100원택시` 총리후보자 아이디어였나,False,문재인,170,출처: [레이더P 팩트체커] ‘100원택시` 총리후보자 아이디어였나
1116,2,문재인 “한미 FTA는 우리가 한거죠”,True,문재인,153,
1118,2,"洪 ""한국, 비정규직 더 많고 직원 해고하기 세계에서 가장 어려워""",False,홍준표,108,"출처: 洪 한국,비정규직 더 많고, 세계에서 해고하기 가장 어려워"
1121,3,핀란드 기본소득 실험 실패했다,False,"SNS, 인터넷 커뮤니티",2318,
1122,3,"""이용수 할머니의 기자회견 내용이 일본 극우의 주장과 똑같다""",False,국내외 온라인 커뮤니티 및 일본 정치인,2300,출처: 국내 트위터 이용자
1123,3,논란이 되는 정의기억연대가 소녀상에 책임을 지는 주체다?,False,산케이 신문,2290,출처: 5월 20일 산케이 신문 논평 '반일 집회 중단과 소녀상 철거'
1124,3,최근 공개된 5.18 기밀 해제 문서에 새롭게 드러난 엄청난 진실을 정부와 언론이 숨긴다.,False,온라인 커뮤니티 및 보수 유튜버,2286,"출처: 가로세로 연구소 유튜브 ""5.18 기밀 문서 해제 관련 영상"""
1125,3,최근 공개된 미국 기밀문서에 5·18은 김대중 추종자와 간첩들이 일으킨 폭동이라고 규정돼있다.,False,온라인 커뮤니티 및 보수 유튜버,2287,출처: 가로세로 연구소 유튜브
1126,3,"""미국 권위자 미베인 교수가 한국 선거는 조작이라고 했다""",False,유튜브 이용자,2265,출처: 유튜브 '도람뿌' 등
1127,3,"""백악관 청원하면 '국제선관위'가 한국 조사한다?""",False,온라인 커뮤니티 및 보수 유튜버,2260,출처: 보수 유튜버 '한국인과 진실' 백악관 청원 관련 주장
1128,3,국제원유가 마이너스면 국내 휘발유 공짜다,False,인터넷 커뮤니티 및 SNS,2243,
1134,3,"""일본 정부는 일본 내 가구당 40장씩 마스크를 무료 배포한다?""",False,언론 보도 및 온라인 커뮤니티 이용자,2126,출처: 3월 8일 온라인 커뮤니티
1146,3,개인 소비자가 마스크 사재기해도 단속된다?,True,발언인 없음,2062,
1147,3,"""세계 어느 나라도 중국인 입국 금지를 하지 않았다.""",False,이재정 대변인,2052,출처: 2020년 1월 29일 국회 브리핑
1155,3,정부가 마스크 공장 물량 다 가져가서 판매할 물량이 없다?,False,온라인 커뮤니티 이용자,2040,출처: 온라인 커뮤니티 이용자 및 관련 보도 다수 댓글 등
1157,3,"중국 당국이 공문을 통해 ""마늘이 예방책""이라고 권고했다?",False,유튜버 및 온라인 커뮤니티 이용자,2022,
1164,3,"""고등학생에게 선거권을 주는 나라는 전 세계에서 우리밖에 없다.""",False,인터넷 뉴스 댓글 이용자,1995,출처: 만18세 선거권 관련기사 댓글
1170,3,"""유니클로가 발열 내의를 나눠주니까 한국의 불매 운동이 중단됐다""",False,일본 트위터 이용자,1941,
1176,3,“이자스민 전 의원은 필리핀에 다 퍼준다”,False,온라인 뉴스 댓글 이용자,1925,출처: 온라인 뉴스 댓글
1177,3,"""'성노예'라는 표현은 사실(事實)에 반(反)하므로 사용해서는 안 된다""",False,일본 외무성,1913,
1178,3,"""생중계, 관중, 취재진 없이 경기 운영한 북한을 월드컵에서 제외하자""",False,온라인 이용자,1870,출처: 온라인 커뮤니티 이용자 및 관련 보도 다수 댓글 등
1179,3,"피의사실공표죄, 한국에만 있다?",False,인터넷 뉴스 댓글 이용자,1857,출처: 피의사실공표죄 관련 기사 댓글
1182,3,"""기자들의 17개 질문 중 문 대통령이 답한 것은 하나도 없고, 트럼프 대통령의 원맨쇼만 또다시 펼쳐졌습니다.""",False,심재철,1851,출처: 2019.09.25 자유한국당 연석회의
1183,3,"문재인 대통령의 의전차량이 외국 국가원수용, 의전용 VIP 리무진이 아니라 미국에서 중요 범죄자나 중요 증인들을 호송할 때 쓰는 ...",False,유튜버 및 온라인 커뮤니티 이용자,1852,
1189,3,"""욱일기가 정치적 의미에서 결코 선전(물)이 되지 않는다고 생각한다""",False,하시모토 세이코 일본 올림픽상,1833,출처: 9월 12일 신임 장관 취임식
1192,3,"""日 찾은 한국인 관광객 7.6% ↓""... 불매운동 효과 없었다?",False,온라인 커뮤니티 이용자,1793,출처: 커뮤니티
1193,3,"""일본 적산 되돌려줘야 한다""",False,보수 유튜버,1792,출처: 보수 유튜버 주장
1194,3,"""문정인 주미 대사 거부는 워싱턴(미국)의 외교농단""",False,김종대,1785,출처: 김종대 의원 페이스북 게시 글
1195,3,"""미 국방부 산하 교육기관인 국방대학이 한국-일본과 ‘핵 공유론’을 제안했다.""",False,언론 보도,1783,"출처: 연합뉴스 <美국방대, 유사시 美전술핵 韓日과 공유 방안 제안> 기사"
1197,3,"""도쿄 방사성 물질, 기준치 네배 초과""",False,최재성,1775,출처: MBC라디오 김종배의 시선집중 인터뷰 도중 발언
1198,3,"""남북간 경제협력으로 평화경제가 실현된다면 단숨에 일본경제의 우위를 따라잡을 수 있다""",False,문재인,1768,출처: 8월 5일 청와대 수석보좌관회의
1199,3,일본 화이트리스트 제외가 국내 석유화학 산업에 타격을 준다.,False,발언인 없음,1755,
1203,3,“한국은 협정상 의무에 따라 18일까지 중재에 응해야 한다.”,False,고노 다로,1716,
1204,3,"“한국 정부는 2005년 8월, 일본에서 받은 무상자금에 강제동원으로 고통받은 역사적 피해 보상금도 포함돼 있다고 공표했다.”",True,고노 다로,1713,
1205,3,"""한국을 화이트 국가에서 제외하는 것은 세계무역기구(WTO) 협정에 있어 아무 문제가 없다.”",False,고노 다로,1712,
1206,3,"“재래식 무기에 대해 캐치올 규제를 도입하지 않는 등 한국 내 수출관리제도가 꼭 충분하지는 않다.""",False,고노 다로,1711,
1208,3,"""과거 유사사례를 봐도 (북한주민)송환까지는 2~5일이 걸렸다.""",False,김연철,1709,
1210,3,"""한국 기업이 납품기한을 짧게 요청해 수출관리에 문제가 있다.""",False,일본 경제산업성,1705,
1211,3,"""한국의 캐치올 제도(전략물자통제)가 제대로 이루어지지 않는다.""",False,일본 경제산업성,1703,
1212,3,"""한국, 일본산 불화수소 북한으로 반출했다""",False,언론 보도,1702,출처: 7월 10일자 후지TV 보도
1213,3,"""일본이 수출 규제를 풀지 않으면 이달말 반도체 공장 가동이 중단될 수 있다.""",False,언론 보도,1701,출처: 2019년 7월 5일 기사
1214,3,"""특정 시기 에칭가스 대량발주가 이뤄졌고, 이후 한국 기업에서 행방이 묘연해졌다.""",False,일본 자민당,1697,출처: 일본 자민당 간부 발언 보도
1216,3,"""문재인 대통령, 일본 공항에서 환대 받지 못했다""",False,민경욱,1682,출처: 민경욱 자유한국당 대변인 페이스북
1218,3,"""한·미 정상 통화 내용 공개는 국민의 알 권리를 위한 것""",False,강효상,1599,출처: 5월 23일 자유한국당 회의
1220,3,"""국제노동기구(ILO) 핵심협약 비준 시 전교조가 자동으로 합법화된다?""",False,발언인 없음,1597,
1222,3,"""'한국당 빼고 패스트트랙 지정'은 北 지령""",False,보수 유튜버,1569,
1223,3,"""삼겹살 가격 급등은 아프리카돼지열병(ASF) 때문이다?""",False,발언인 없음,1568,
1224,3,"""천황 호칭이 외교적 관례, 타 국가들도 '천황' 사용""",True,고민정,1551,출처: 5월 1일자 조선일보 기사
1225,3,트럼프 대통령이 '전화 한 통화로 방위비 분담금을 인상했다'고 겨냥한 국가는 한국,True,언론 보도,1548,
1227,3,"""노르웨이 국부펀드 한국 채권 매각은 악재다?""",False,발언인 없음,1513,출처: 4월 8일 언론보도
1228,3,"""북한 산엔 산불에 탈 나무가 없다""",True,김문수,1486,출처: 4월 6일자 김문수 페이스북 게시글
1229,3,"""휴전선 일대에도 산불이 간혹 나지만, 풀이나 덤불 정도""",False,김문수,1489,출처: 4월 6일자 김문수 페이스북 게시글
1230,3,'2019 통일백서' 속 북한인권 내용이 전년보다 부실해졌다,False,언론 보도,1456,출처: 다수 언론의 문제 제기
1231,3,"문 대통령, 말레이 총리에 건넨 인니어 인사말은 외교 결례",False,언론 보도,1439,출처: 다수 언론의 문제 제기
1234,3,미국의 최저임금이 새해 최대 44% 인상됐다,False,언론 보도,1275,
1237,3,"북아프리카 통해 온 스페인 난민 급증, 리비아 수용소 때문?",False,국회 국민인권포럼,1237,
1238,3,"포퓰리즘, 좌·우 이념과는 별개다?",True,국회 국가혁신을 위한 연구모임,1238,
1239,3,'동북아 슈퍼그리드'는 에너지 종속국을 자초하는 사업이다.,False,정용기,1236,
1244,3,"위안부 합의 파기, 국제법 위반이다?",False,발언인 없음,1177,"출처: 日외상 ""위안부 합의는 국제약속…韓,정권 바뀌어도 지켜야"""
1245,3,대체복무는 '현역 복무기간의 1.5배 이내' 국제기준 없다?,False,국가인권위원회,1160,
1246,3,"""일본, 강제징용 배상 의무 없다""",False,일본 관료들,1132,출처: 일 나카소네 전 외무상  “한국은 국가의 몸 못갖춰” 망언
1247,3,"""글로벌 경기는 순항, 우리 경제는 하강 국면""",False,황교안,1131,출처: 황교안 Hwang Kyo-ahn
1248,3,"""북한에 대한 인도적 지원 전무""",False,송영길,1090,"출처: 송영길 ""제재 완화도 없이 비핵화하라니… 美 핵 포기 강요… NPT는 불평등 조약"""
1249,3,종전선언 후에도 외국군대가 주둔하는 나라는 없다,False,인터넷 루머,1046,
1250,3,엘리엇과의 8천억 소송에서 이기기 위해 법무부가 삼성편을 들고 있다.,False,김어준,1007,출처: 청와대 국민소통 광장 > 국민청원
1251,3,"""제주4.3은 미국과 관련이 없다""",False,미국 국무부,998,
1252,3,"""청와대나 대통령은 해외 자원개발 사업에 직접적인 관여를 하지 않았다""",False,이명박,956,
1253,3,"""이라크 쿠르드 유전개발 사업은 유망성이 높은 사업이다""",False,한국석유공사,957,
1256,3,"""난민협약, 난민신청자 보호하라는 것 아냐""",False,김진태,866,
1262,3,리용호 북한 외무상이 트위터에 북미정상회담 관련 트윗을 올리고 문재인대통령에게 감사를 표했다.,False,인터넷 루머,816,출처: [북한 리용호 트위터] 문재인 이 일을 만들어 주셔서 감사합니다
1263,3,문재인 대통령이 군사분계선을 잠깐 넘어간 것은 국가보안법 위반?,False,인터넷 루머,718,"출처: '금단의 선' 넘은 文대통령 국보법 위반?…""통치행위"""
1264,3,"""리비아 카다피는 핵무기를 포기해서 죽었다""",False,밥 코커,707,"출처: 'Obviously, Kim Jong Un has learned about public relations': GOP senator"
1265,3,"""리비아식 해법도 사실상 단계적 비핵화""",True,청와대,694,
1266,3,"""한미연구소(USKI) 예산 중단 결정은 정당한 절차에 의한 것이다""",False,청와대,665,
1267,3,북한 여행자 보험 상품 정말 없나?,False,통일부,660,
1270,3,한국(남한)은 평화협정 서명자가 될 수 없다,False,북한,654,
1271,3,"""경찰이 구속하는 나라는 없다""",True,문무일,647,출처: “자치경찰제 도입 없인 수사권 조정 없다”…검·경 갈등 재점화
1273,3,최저임금이 오르면 물가도 오를까?,False,발언인 없음,631,
1274,3,"""최저임금 올리면 일자리가 줄어든다""",False,발언인 없음,630,
1275,3,최저임금 인상은 경제에 악영향을 미친다?,False,발언인 없음,629,
1280,3,"""'토지공개념'이 사회주의 제도""?",False,전희경,615,
1282,3,"""한국이 중국 철강을 환적-우회 수출하고 있다""",False,윌버 로스,574,"출처: 美, 한국을 중국산 철강 우회수출 통로로 여기지만 우리나라 對美 수출물량 중 중국산 가공품 2.4%뿐"
1283,3,"""한국산 철강재가 미국 철강산업을 잠식한다""",False,미국철강협회와 철강제조협회,575,출처: 미국 철강업계도 트럼프에 무역조치 촉구
1286,3,"""한미 FTA는 미국에 손실만 낳았다""",False,트럼프,576,"출처: 트럼프 ""한국과 매우 나쁜 무역협정…손실만 낳았다""(종합)"
1287,3,"""한국산 딸기는 일본에서 유출된 품종을 교배해 만들었다""",True,사이토 겐 일본 농림수산상,560,출처: 韓国イチゴに農水相「日本品種が流出」カーリングで注目：朝日新聞デジタル
1289,3,2014년 한미방위비분담 특별협정에서 민감특수정보시설만 현금지원 이면합의?,True,발언인 없음,528,출처: 외통위 '2014년 한미 방위비분담 이면합의' 의혹 도마 위에
1291,3,"미국의 철강 통상압력, 외교실책 탓인가",False,자유한국당,522,"출처: 한국당 ""미국의 통상압력은 文정부의 친북-친중 외교 때문"""
1292,3,4월 한반도 전쟁? 소문의 근거 따져보니,False,관련인 없음,519,
1293,3,"""북한은 더 춥다. (남한은) 그렇게 추운 날씨는 아닌 것 같다""",True,북측 관계자,487,"출처: 北 선수, 한국 한파에 “북한은 더 춥다”…남북 단일팀 첫 출발 표정"
1294,3,"나경원 ""남북 단일팀 구성 및 한반도기 공동 입장으로 올림픽 헌장을 위반할 소지가 있다""",False,나경원,486,
1295,3,"""남북단일팀이 평창올림픽 유치조건""",False,권순욱,470,"출처: 뉴스신세계[18.01.22] 언론과 자유당, 집단정신분열/문대림 비서관을 아시나요?"
1297,3,IOC 대변인이 나경원 의원을 비판했다?,False,관련인 없음,461,
1298,3,'한반도기' 합의...평창에서 태극기 사라진다?,False,관련인 없음,456,
1299,3,"""가상통화가 외환 유출 통로가 되고 있다""는 주장은 사실일까",False,관련인 없음,444,
1300,3,“서해 군 통신선 복원” 북한의 주장 사실인가?,False,리선권,439,"출처: 서해 통신선 문제로 얼굴붉힌 남북…軍, 복원 사실 몰랐나"
1301,3,"""핵무기, 철두철미 美겨냥, 동족겨냥 아냐""",False,리선권,433,"출처: [팩트체커] 北리선권 핵, 철두철미 美겨냥 동족겨냥 아냐"
1304,3,[가짜뉴스] 청와대 직원 500명 '탄저균' 예방접종?,False,청와대,405,출처: [뉴스타운TV] 충격! 5천만 국민 몰래 탄저균 백신 구입해 혼자만 살겠다는 문재인과 청와대 주사파들
1305,3,이스라엘 통신비 인하는 실패한 포퓰리즘 정책이다?,False,관련인 없음,202,출처: [기자의 시각] 이스라엘의 통신비 矯角殺牛
1306,3,"문재인 대통령이 방중 일정 동안 거의 '혼밥'을 하고, 베이징 도착 당시에도 중국 측이 의전에 소홀했다는 지적이 제기된다. 사실일까?",False,문재인,395,"출처: 한국당 ""기자폭행은 한국 테러"" 바른정당 ""외교적 결례를 넘어 의도적 모욕"" - the300"
1307,3,한국은 정말 조세회피처인가?,False,유럽연합,388,
1308,3,공무원 늘려 '국가부도' 위기 우려?,False,정우택,386,
1309,3,북한 '해상봉쇄' 가능한가?,False,송영무,380,
1310,3,북한 '핵보유국 인정' 할 수 있나?,False,김정은,378,
1311,3,파견노동자 확대가 세계적 추세?,False,김광림,375,
1312,3,"트럼프, 독자적 군사행동 할 수 있다?",False,트럼프,373,
1313,3,"트럼프 '1박 2일 방한', 한국 홀대인가?",False,안철수,369,
1314,3,노벨평화상 취소 가능한가?,False,국정원,368,
1315,3,"박근혜 구금, 국제표준 어긋난다?",False,박근혜,367,
1316,3,"""전세계 어디를 가도 대통령 기념관에 대통령 동상이 없는 곳은 없다""",False,박정희기념재단,336,
1317,3,국내 거주 미국인 후송 훈련(NEO)가 대북 군사행동 징후일까?,False,관련인 없음,318,
1320,3,"(한국 정부가 북한에 인도적 지원을 하는 것은) ""북한에 대한 압박을 훼손하는 행동이다""",False,스가 요시히데 일본 관방장관,263,출처: '시기·규모' 유보한 대북 인도지원 결정…왜? - the300
1321,3,미국은 한국의 승인없이 북한에 대한 군사 공격을 할 수 있나?,True,버웰 벨 전 주한미군사령관,233,"출처: [팩트인 뉴스] 美, 韓 승인없이도 北 공격 가능할까"
1324,3,"文·여당 ""탈원전은 세계적 추세"" 사실은?",False,문재인,197,출처: [레이더P 팩트체커] 文·여당 탈원전은 세계적 추세
1325,3,"""미국, 한·미FTA 개정 협상 개시 선언했다""는 보도, 사실일까?",False,관련인 없음,195,"출처: 美, 한미FTA 개정협상 요구…다음달 특별공동위 소집 추진 | 연합뉴스"
1326,3,"트럼프 미국 대통령의 한미FTA 재협상 요구, 거부할 수 있을까?",False,트럼프,193,
